序号,朝代,书目,古地名,地理描述,景观产业描述,人口描述,今地区_y
13,汉朝,《汉书·西域传》,皮山国,王治皮山城，去长安万五十里。东北至都护四千二百九十二里，南接天笃，西北通莎车。,,户五百，口三千五百，胜兵五百人。,新疆和田地区民丰县
14,汉朝,《汉书·西域传》,乌秅国,王治乌秅城，去长安九千九百五十里。东北至都护四千八百九十二里，北与子合、蒲犁，西与难兜接。,山居，田石间，有白草，累石为室。民接手饮。出小步马。,户四百九十，口二千七百三十三，胜兵七百四十人。,新疆塔什库尔干塔吉克自治县
15,汉朝,《汉书·西域传》,西夜国,王治呼犍谷，去长安万二百五十里。东北到都护五千四十六里，北与莎车、西与蒲犁接。,土地出玉石。种类羌氐行国，随畜逐水草。,户三百五十，口四千，胜兵千人。,新疆巴音郭楞州焉耆县
16,汉朝,《汉书·西域传》,蒲犁国,王治蒲犁谷，去长安九千五百五十里。东北至都护五千三百九十六里，东至莎车五百四十里。,寄田莎车，种俗与子合同。,户六百五十，口五千，胜兵二千人。,新疆塔城市
17,汉朝,《汉书·西域传》,依耐国,去长安万一百五十里。东北至都护二千七百三十里，至莎车、无雷各五百四十里，北至疏勒六百五十里。,少谷，寄田疏勒、莎车，俗与子合同。,户一百二十五，口六百七十，胜兵三百五十人。,新疆塔什库尔干塔吉克自治县
18,汉朝,《汉书·西域传》,无雷国,王治卢城，去长安九千九百五十里。东北至都护二千四百六十五里，南至蒲犁五百四十里。,衣服类乌孙，俗与子合同。,户千，口七千，胜兵三千人。,新疆塔城市
19,汉朝,《汉书·西域传》,难兜国,去长安万一百五十里。东北至都护二千八百五十里，西至无雷三百四十里。,有银铜铁，作兵与诸国同。种五谷、蒲陶诸果。,户五千，口三万一千，胜兵八千人。,新疆塔城市
20,汉朝,《汉书·西域传》,莎车国,王治莎车城，去长安九千九百五十里。东北至都护四千七百四十六里，西至疏勒五百六十里。,有铁山，出青玉。,户二千三百三十九，口万六千三百七十三，胜兵三千四十九人。,新疆巴音郭楞州若羌县
21,汉朝,《汉书·西域传》,疏勒国,王治疏勒城，去长安九千三百五十里。东至都护二千二百一十里，南至莎车五百六十里。,有市列，西当大月氏、大宛、康居道。,户千五百一十，口万八千六百四十七，胜兵二千人。,新疆喀什地区叶城县
22,汉朝,《汉书·西域传》,尉头国,王治尉头谷，去长安八千六百五十里。东至都护千四百一十一里，南与疏勒接。,田畜随水草，衣服类乌孙。,户三百，口二千三百，胜兵八百人。,新疆克孜勒苏柯尔克孜自治州阿合奇县
23,汉朝,《汉书·西域传》,乌孙国,大昆弥治赤谷城，去长安八千九百里。东至都护治所千七百二十一里，西至康居蕃内地五千里。东与匈奴、西北与康居、西与大宛、南与城郭诸河相接。,地莽平。多雨，寒。山多松??。不田作种树，随畜逐水草，与匈奴同俗。国多马，富人至四五千匹。,户十二万，口六十三万，胜兵十八万八千八百人。,新疆伊犁州
24,汉朝,《汉书·西域传》,姑墨国,王治南城，去长安八千一百五十里。东至都护治所二千二十一里，南至于阗马行十五日，北与乌孙接。东通龟兹六百七十里。,出铜、铁、雌黄。,户三千五百，口二万四千五百，胜兵四千五百人。,新疆吐鲁番市鄯善县
25,汉朝,《汉书·西域传》,温宿国,王治温宿城，去长安八千三百五十里。东至都护治所二千三百八十里，西至尉头三百里，北至乌孙赤谷六百一十里。东通姑墨二百七十里。,土地物类所有与鄯善诸国同。,户二千二百，口八千四百，胜兵千五百人。,新疆乌恰县
26,汉朝,《汉书·西域传》,龟兹国,王治延城，去长安七千四百八十里。南与精绝、东南与且末、西南与杅弥、北与乌孙、西与姑墨接。东至都护治所乌垒城三百五十里。,能铸冶，有??。,户六千九百七十，口八万一千三百一十七，胜兵二万一千七十六人。,新疆喀什市
27,汉朝,《汉书·西域传》,乌垒,与都护同治。其南三百三十里至渠犁。,,户百一十，口千二百，胜兵三百人。,新疆库尔勒市
28,汉朝,《汉书·西域传》,渠犁,东北与尉犁、东南与且末、南与精绝接。西有河，至龟兹五百八十里。,饶水草，有溉田五千顷以上，处温和，田美。,户百三十，口千四百八十，胜兵百五十人。,新疆库尔勒市
29,汉朝,《汉书·西域传》,尉犁国,王治尉犁城，去长安六千七百五十里。西至都护治所三百里，南与鄯善、且末接。东通龟兹六百五十里。,,户千二百，口九千六百，胜兵二千人。,新疆阿克苏地区库车市
30,汉朝,《汉书·西域传》,危须国,王治危须城，去长安七千二百九十里。西至都护治所五百里，至焉耆百里。,,户七百，口四千九百，胜兵二千人。,新疆巴音郭楞州焉耆县
31,汉朝,《汉书·西域传》,焉耆国,王治员渠城，去长安七千三百里。西南至都护治所四百里，南至尉犁百里，北与乌孙接。,近海水多鱼。,户四千，口三万二千一百，胜兵六千人。,新疆巴音郭楞州焉耆县
32,汉朝,《汉书·西域传》,乌贪訾离国,王治于娄谷，去长安万三百三十里。东与单桓、南与且弥、西与乌孙接。,,户四十一，口二百三十一，胜兵五十七人。,新疆和田县
33,汉朝,《汉书·西域传》,卑陆国,王治天山东乾当国，去长安八千六百八十里。西南至都护治所千二百八十七里。,,户二百二十七，口千三百八十七，胜兵四百二十二人。,新疆伊犁州霍城县
34,汉朝,《汉书·西域传》,卑陆后国,王治番渠类谷，去长安八千七百一十里。东与郁立师、北与匈奴、西与劫国、南与车师接。,,户四百六十二，口千一百三十七，胜兵三百五十人。,新疆昌吉市
35,汉朝,《汉书·西域传》,郁立师国,王治内咄谷，去长安八千八百三十里。东与车师后城长、西与卑陆、北与匈奴接。,,户百九十，口千四百四十五，胜兵三百三十一人。,新疆哈密市
36,汉朝,《汉书·西域传》,单桓国,王治单桓城，去长安八千八百七十里。,,户二十七，口百九十四，胜兵四十五人。,新疆昌吉市
37,汉朝,《汉书·西域传》,蒲类国,王治天山西疏榆谷，去长安八千三百六十里。西南至都护治所千三百八十七里。,,户三百二十五，口二千三十二，胜兵七百九十九人。,新疆巴音郭楞州若羌县
38,汉朝,《汉书·西域传》,蒲类后国,王去长安八千六百三十里。,,户百，口千七十，胜兵三百三十四人。,新疆和田地区民丰县
39,汉朝,《汉书·西域传》,西且弥国,王治天山东于大谷，去长安八千六百七十里。西南至都护治所千四百八十七里。,,户三百三十二，口一千九百二十六，胜兵七百三十八人。,新疆哈密市
40,汉朝,《汉书·西域传》,东且弥国,王治天山东兑虚谷，去长安八千二百五十里。西南至都护治所千五百八十七里。,,户百九十一，口千九百四十八，胜兵五百七十二人。,新疆昌吉市
41,汉朝,《汉书·西域传》,劫国,王治天山东丹渠谷，去长安八千五百七十里。西南至都护治所千四百八十七里。,,户九十九，口五百，胜兵百一十五人。,新疆乌鲁木齐市
42,汉朝,《汉书·西域传》,狐胡国,王治车师柳谷，去长安八千二百里。西至都护治所千一百四十七里，至焉耆七百七十里。,,户五十五，口二百六十四，胜兵四十五人。,新疆塔什库尔干塔吉克自治县
43,汉朝,《汉书·西域传》,山国,王去长安七千一百七十里。西至尉犁二百四十里，西北至焉耆百六十里，西至危须二百六十里，东南与鄯善、且末接。,山出铁，民山居，寄田籴谷于焉耆、危须。,户四百五十，口五千，胜兵千人。,新疆阿克苏地区库车市
44,汉朝,《汉书·西域传》,车师前国,王治交河城，去长安八千一百五十里。西南至都护治所千八百七里，至焉耆八百三十五里。,河水分流绕城下。,户七百，口六千五十，胜兵千八百六十五人。,新疆吐鲁番市高昌区
45,汉朝,《汉书·西域传》,车师后王国,治务涂谷，去长安八千九百五十里。西南至都护治所千二百三十七里。,,户五百九十五，口四千七百七十四，胜兵千八百九十人。,新疆伊犁州霍城县
46,汉朝,《汉书·西域传》,车师都尉国,,,户四十，口三百三十三，胜兵八十四人。,新疆吐鲁番市
47,汉朝,《汉书·西域传》,车师后城长国,,,户百五十四，口九百六十，胜兵二百六十人。,新疆和田地区民丰县
48,汉朝,《后汉书·西域传》,西域 ,东西六千余里，南北千余里，东极玉门、阳关，西至葱领。其东北与匈奴、乌孙相接。,南北有大山，中央有河。其南山东出金城，与汉南山属焉。其河有两源。,,新疆
49,汉朝,《后汉书·西域传》,伊吾,自敦煌西出玉门、阳关，涉鄯善，北通伊吾千余里。置宜禾都尉以屯田。开设屯田。,地宜五谷、桑麻。膏腴之地。,,新疆哈密市
50,汉朝,《后汉书·西域传》,车师前部 (高昌壁),自伊吾北通车师前部高昌壁千二百里。居车师前部高昌壁。,汉常与匈奴争车师、伊吾。,领户千五百余。口四千余。胜兵二千人。,新疆吐鲁番市
51,汉朝,《后汉书·西域传》,车师后部 (金满城/候城),自高昌壁北通后部金满城五百里。居车师后部候城。,北与匈奴接。后部西通乌孙。,领户四千余。口万五千余。胜兵三千余人。以后部人三百帐别属役之。,新疆伊犁州霍城县
52,汉朝,《后汉书·西域传》,柳中,其北又有柳中。屯柳中。长史所居柳中。,膏腴之地。引水通沇。,,新疆吐鲁番市鄯善县
53,汉朝,《后汉书·西域传》,蒲昌海 (盐泽),一出葱领东流，一出于阗南山下北流，与葱领河合，东注蒲昌海。去玉门三百余里。,一名盐泽。,,新疆巴音郭楞州若羌县
54,汉朝,《后汉书·西域传》,南道,傍南山北，陂河西行至莎车，为南道。,,,新疆和田县
55,汉朝,《后汉书·西域传》,北道,自车师前王庭随北山，陂河西行至疏勒，为北道。,,,新疆塔什库尔干塔吉克自治县
56,汉朝,《后汉书·西域传》,拘弥 (宁弥),出玉门，经鄯善、且末、精绝三千余里至拘弥。居宁弥城。其国西接于阗三百九十里。,,领户二千一百七十三。口千七百六十人。胜兵千七百六十人。时人众裁有千口。,新疆和田地区于田县
57,汉朝,《后汉书·西域传》,于阗国,居西城。其东水东流，注盐泽。其南则河源出焉。,于阗南山下。一出于阗南山下北流。,领户三万二千。口八万三千。胜兵三万余人。,新疆和田县
58,汉朝,《后汉书·西域传》,西夜国,自于阗经皮山，至西夜。,地生白草。,户二千五百。口万余。胜兵三千人。,新疆喀什地区叶城县
59,汉朝,《后汉书·西域传》,子合国,居呼鞬谷，去疏勒千里。,,领户三百五十。口四千。胜兵千人。,新疆喀什地区叶城县
60,汉朝,《后汉书·西域传》,德若国,与子合相接。,其俗皆同。,领户百余。口六百七十。胜兵三百五十人。,新疆塔克拉玛干沙漠
61,汉朝,《后汉书·西域传》,莎车国,陂河西行至莎车。西经蒲犁、无雷至大月氏。莎车东北至疏勒。,,,新疆巴音郭楞州若羌县
62,汉朝,《后汉书·西域传》,疏勒国,随北山，陂河西行至疏勒。去长史所居五千里。,攻桢中城。,领户二万一千。胜兵三万余人。,新疆喀什地区英吉沙县
63,汉朝,《后汉书·西域传》,桢中城,攻桢中城。,,,新疆喀什地区英吉沙县
64,汉朝,《后汉书·西域传》,焉耆国,王居南河城，北去长史所居八百里。四面有大山，与龟兹相连。,道险阸易守。有海水曲入四山之内，周匝其城三十余里。,户万五千。口五万二千。胜兵二千余人。,新疆巴音郭楞州焉耆县
65,汉朝,《后汉书·西域传》,南河城,焉耆国王居南河城。,周匝其城三十余里。,,新疆阿克苏地区沙雅县
66,汉朝,《后汉书·西域传》,蒲类国,居天山西疏榆谷。,庐帐而居，逐水草，颇知田作。,户八百余。口二千余。胜兵七百余人。,新疆巴音郭楞蒙古自治州尉犁县
67,汉朝,《后汉书·西域传》,移支国,居蒲类地。,随畜逐水草，不知田作。,户千余。口三千余。胜兵千余人。,新疆阿勒泰市
68,汉朝,《后汉书·西域传》,东且弥国,东去长史所居八百里。,庐帐居，逐水草，颇田作。所居无常。,户三千余。口五千余。胜兵二千余人。,新疆昌吉市
69,汉朝,《后汉书·西域传》,交河城,车师前王居交河城。大破西域于交河城。,河水分流绕城，故号交河。,,新疆塔什库尔干塔吉克自治县
70,汉朝,《后汉书·西域传》,务涂谷,后王居务涂谷。,,,新疆昌吉回族自治州吉木萨尔县
71,汉朝,《后汉书·西域传》,且固城,攻围汉屯田且固城。,,,新疆巴音郭楞州轮台县
72,汉朝,《后汉书·西域传》,乌孙,在大宛东北二千里。,行国，随畜。,控弦数万，敢战。,新疆伊犁州
73,汉朝,《后汉书·西域传》,于阗国,而汉使穷河源，河源出于置，其山多玉石，采来，天子案古图书，名河所出山曰昆仑云。,,,新疆和田县
74,三国,《三国志》注引《魏略》 (裴松之),西域,从炖煌玉门关入西域，前有二道，今有三道。从玉门关西出，经婼羌转西，越葱领，经县度，入大月氏，为南道。从玉门关西出，发都护井，回三陇沙北头，经居卢仓，从沙西井转西北，过龙堆，到故楼兰，转西诣龟兹，至葱领，为中道。从玉门关西北出，经横坑，辟三陇沙及龙堆，出五船北，到车师界戊己校尉所治高昌，转西与中道合龟兹，为新道。凡西域所出，有前史已具详，今故略说。南道西行，且志国、小宛国、精绝国、楼兰国皆并属鄯善也。戎卢国、枅弥国、渠勒国皮、穴国皆并属于置。罽宾国、大夏国、高附国、天竺国皆并属大月氏。,,,新疆
75,三国,《三国志》注引《魏略》 (裴松之),鄯善国,含且志、小宛、精绝、楼兰,,并属鄯善。,新疆巴音郭楞州且末县
76,三国,《三国志》注引《魏略》 (裴松之),于阗国,含戎卢、枅弥、渠勒、皮穴,,并属于阗。,新疆和田县
77,三国,《三国志》注引《魏略》 (裴松之),焉耆国,含尉梨、危须、山王,,并属焉耆。,新疆巴音郭楞州焉耆县
78,三国,《三国志》注引《魏略》 (裴松之),龟兹国,含姑墨、温宿、尉头,,并属龟兹。,新疆阿克苏地区库车市
79,三国,《三国志》注引《魏略》 (裴松之),疏勒国,含桢中、莎车、竭石、渠沙、西夜、依耐、满犁、亿若、榆令、捐毒、休修、琴国,,并属疏勒。,新疆喀什市
80,三国,《三国志》注引《魏略》 (裴松之),车师后部,治于赖城,,含且弥、西且弥、单桓、毕陆、蒲陆、乌贪。,新疆昌吉回族自治州吉木萨尔县
81,晋朝,《晋书·四夷传》,焉耆,西去洛阳八千二百里。其地南至尉犁。北与乌孙接。军次其国。熙距战于贲仑城。,方四百里。四面有大山。道险隘。,,新疆巴音郭楞州焉耆县
82,晋朝,《晋书·四夷传》,尉犁,其地南至尉犁。进据尉犁。,,,新疆博尔塔拉蒙古自治州
83,晋朝,《晋书·四夷传》,遮留谷,未至十余里。熙又率众先要之于遮留谷。今谷名遮留。,,,新疆阿克苏地区库车市
84,晋朝,《晋书·四夷传》,龟兹,西去洛阳八千二百八十里。,人以田种畜牧为业。,,新疆阿克苏地区库车市
85,晋朝,《佛国记》,鄯善国,,其地崎岖薄瘠，俗人衣服粗与汉地同，但以毡褐为异。,,新疆巴音郭楞州且末县
86,晋朝,《佛国记》,于阗国,,其国丰乐，人民殷盛，尽皆奉法以法。,,新疆和田县
87,晋朝,《佛国记》,竭义国,从此西行，向北天竺，在道一月，得度葱岭。葱岭冬夏有雪，又有毒龙，若失其意，则吐毒风雨雪，飞沙砾石，遇此难者，万无一全。,其地山寒，不生余榖，唯熟麦耳。其国当葱岭之中，自葱岭已前，草木果实皆异，唯竹及安石榴、甘蔗三物，与汉地同耳。,,新疆博尔塔拉蒙古自治州精河县
88,南北朝,《魏书·西域传》,西域,至太延中，为十六国，分其地为四域。自葱岭以东，流沙以西为一域；葱岭以西，海曲以东为一域；者舌以南，月氏以北为一域；两海之间，水泽以南为一域。内诸小渠长盖以百数。其出西域本有二道，后更为四：出自玉门，渡流沙，西行二千里至鄯善为一道；自玉门渡流沙，北行二千二百里至车师为一道；从莎车西行一百里至葱岭，葱岭西一千三百里至伽倍为一道；自莎车西南五百里葱岭，西南一千三百里至波路为一道焉。,,,新疆
89,南北朝,《魏书·西域传》,鄯善国,都扜泥城，古楼兰。北邻白龙堆。,地多沙卤，少水草。,赋役比郡县；后役属于且末。,新疆巴音郭楞州且末县
90,南北朝,《魏书·西域传》,且末国,鄯善西，有流沙数百里。,夏有热风，老驼可预警。,后役属于鄯善。,新疆昌吉回族自治州奇台县
91,南北朝,《魏书·西域传》,于阗国,且末西北，葱岭北。,出玉石、桑麻；有赞摩寺、比摩寺。,貌类华夏，俗重佛法；曾杀吐谷浑王。,新疆和田县
92,南北朝,《魏书·西域传》,蒲山国,于阗南。,有冻凌山。,役属于于阗。,新疆巴音郭楞州轮台县
93,南北朝,《魏书·西域传》,悉居半国,于阗西（古西夜）。,产玉石。,随畜逐水草。,新疆阿克苏地区温宿县
94,南北朝,《魏书·西域传》,焉耆国,车师南，都员渠城。,产稻粟菽麦，养蚕（充绵），蒲萄酒。,俗事天神及佛；性剽悍，多次掠劫使者。,新疆巴音郭楞州焉耆县
95,南北朝,《魏书·西域传》,龟兹国,尉犁西北，都延城。,出细毡、铜、铁、孔雀、雌黄等；有膏水（如??糊）。,刑法严酷（刖足断臂）；俗性多淫。,新疆阿克苏地区库车市
96,南北朝,《魏书·西域传》,乌孙国,龟兹西北，赤谷城。,无城郭，逐水草。,曾多次受蠕蠕侵扰，西徙葱岭。,新疆伊宁市
97,南北朝,《魏书·西域传》,疏勒国,姑默西，白山南。,产稻粟麻麦、铜铁锡；有佛袈裟。,人手足皆六指。,新疆喀什市
98,南北朝,《北史·西域传》,西域,西域自汉武时五十余国，后稍相并，至太延中为十六国。分其地为四域：自葱岭以东，流沙以西为一域；葱岭以西，海曲以东为一域；者舌以南，月氏以北为一域；两海之间，水泽以南为一域。内诸小渠长，盖以百数。其出西域，本有二道，后更为四。出自玉门度流沙，西行二千里至鄯善为一道；自玉门度流沙，北行二千二百里至车师为一道；从莎车西行一百里至葱岭，葱岭西一千三百里至伽倍为一道；自莎车西南五百里，葱岭西南一千三百里至波路为一道焉。,,,新疆
99,南北朝,《北史·西域传》,鄯善国,古楼兰国，都扞泥城。北即白龙堆路。,地多沙卤，少水草。国出玉，多葭苇。,役其人，比之郡县。,新疆巴音郭楞州若羌县
100,南北朝,《北史·西域传》,且末国,在鄯善西，西北有流沙数百里。,有热风，夏日行旅之患。,,新疆昌吉回族自治州奇台县
101,南北朝,《北史·西域传》,于阗国,且末西北，葱岭北，东去鄯善千五百里。,多美玉，有好马、??、骡。城东有首拔河、树枝水（黄河）、达利水。,部内大城五，小城数十。俗重佛法，貌类华夏。,新疆和田县
102,南北朝,《北史·西域传》,蒲山国,故皮山国，在于阗南。,,役属于阗。,新疆阿克苏地区拜城县
103,南北朝,《北史·西域传》,悉居半国,故西夜国，在于阗西，一名子合。,土地出玉石。,,新疆阿克苏地区乌什县
104,南北朝,《北史·西域传》,渠莎国,故莎车城，在子合西北。,,,新疆阿克苏地区沙雅县
105,南北朝,《北史·西域传》,车师国,前部，王居交河城。北接蠕蠕。,,民饥荒，后遣子入侍。,新疆塔什库尔干塔吉克自治县
106,南北朝,《北史·西域传》,高昌,汉戊巳校尉旧治。东西二百里，南北五百里。,气候温暖，谷麦岁两熟，宜蚕，有赤盐、白盐、蒲桃酒。,城有十八，官制仿中夏（令尹、公、长史、将军）。,新疆吐鲁番市
107,南北朝,《北史·西域传》,且弥国,天山东于大谷，车师北。,,役属车师。,新疆乌鲁木齐市
108,南北朝,《北史·西域传》,焉耆国,在车师南，员渠城白山南。东去高昌九百里。,多稻、粟、菽、麦，畜有??、马。多鱼盐蒲苇。,城有九，无纲纪法令，俗事佛，焚尸葬。,新疆巴音郭楞州焉耆县
109,南北朝,《北史·西域传》,龟兹国,尉犁西北，白山南。东去焉耆九百里。,出细毡、铜、铁、安息香、良马。俗性多媱。,刑法严酷，杀人者死，劫贼断臂。,新疆阿克苏地区库车市
110,南北朝,《北史·西域传》,疏勒国,姑默西白山南。,多稻、粟、麻、麦、铜、铁、锡。,人手足皆六指。胜兵二千人。,新疆喀什市
111,南北朝,《洛阳伽蓝记·宋云行记》,鄯善城,从吐谷浑西行三千五百里。至鄯善城。,,总部落三千。,新疆巴音郭楞州若羌县
112,南北朝,《洛阳伽蓝记·宋云行记》,左末城,从鄯善西行一千六百四十里。至左末城。,土地无雨。决水种麦。耒耜而田。,居民可有百家。,新疆巴音郭楞州且末县
113,南北朝,《洛阳伽蓝记·宋云行记》,末城,从左末城西行一千二百特五里。至末城。,,,新疆和田县
114,南北朝,《洛阳伽蓝记·宋云行记》,捍mo城,从末城西行二十二里。至捍??城。,,,新疆哈密市巴里坤哈萨克自治县
115,南北朝,《洛阳伽蓝记·宋云行记》,于阗国,从捍??城西行八百七十八里。至于阗国。东西不过三千余里。,,,新疆和田县
116,南北朝,《梁书》,高昌国,盖车师之故地也。南接河南。东连炖煌。西次龟兹。北邻敕勒。置四十六镇。交河、田地、高宁、临川、横截、柳婆、洿林、新兴、由宁、始昌、笃进、白刀等。,其地高燥。筑土为城。架木为屋。土覆其上。寒暑与益州相似。备植九谷。多草木。,,新疆吐鲁番市
117,南北朝,《梁书》,焉耆,征其旁国波斯、盘盘、罽宾、焉耆、龟兹、疏勒、姑墨、于阗、句盘等国。,,,新疆巴音郭楞州焉耆县
118,南北朝,《梁书》,龟兹,西域之旧国也。灭其族。征其旁国波斯、盘盘、罽宾、焉耆、龟兹、疏勒、姑墨、于阗、句盘等国。所都曰延城。城有三重。外城与长安城等。,,,新疆阿克苏地区库车市
119,南北朝,《梁书》,于阗国,西域之属也。征其旁国波斯、盘盘、罽宾、焉耆、龟兹、疏勒、姑墨、于阗、句盘等国。有水出玉，名曰玉河。其治曰西山城。,其地多水潦沙石。气温。宜稻、麦、蒲桃。有屋室市井。,,新疆和田县
120,南北朝,《梁书》,渴盘陁国,于阗西小国也。西邻滑国，南接罽宾国，北连沙勒国。所治在山谷中。国有十二城。,城周回十余里。地宜小麦，资以为粮。,,新疆塔什库尔干塔吉克自治县
121,南北朝,《梁书》,末国,汉世且末国也。西与波斯接。,,胜兵万余户。,新疆和田县
122,唐朝,《大唐西域记》,屈支国,屈支国，东西千余里，南北六百余里。国大都城周十七八里。从此西行六百余里，经小沙碛，至跋禄迦国。,屈支。笯。赭。?捍。宜糜、麦，有粳稻，出蒲萄、石榴，多梨、柰、桃、杏。土产黄金、铜、铁、铅、锡。气序和，风俗质,,新疆阿克苏地区库车市
123,唐朝,《大唐西域记》,阿耆尼国,出高曷故地，自近者始，曰阿耆尼国。阿耆尼国，东西六百余里，南北四百余里。国大都城周六七里，四面据山，道险易守。从此西南行二百余里，逾一小山，越二大河，西得平川，行七百余里，至屈居支国。,泉流交带，引水为田。土宜糜、黍、宿麦、香枣、蒲萄、梨、柰诸果。气序和畅，风俗质直。文字取则印度，微有增损。,,新疆乌苏市
124,唐朝,《大唐西域记》,跋禄迦国（旧为姑墨）,跋禄迦国，东西六百余里，南北三百余里。国大都城周五六里。国西北行三百余里，度石碛，至凌山，此则葱岭北原，水多东流矣。山谷积雪，春夏含冻，虽时消泮，寻后结冰。经途险阻，寒风惨烈，多暴龙难，陵犯行人。暴风奋发，飞沙雨石，遇者丧没，难以全生。山行四百余里，至大清池，或名“热海”，又谓“咸海”。,土宜气序、人性风俗、文字、法则，同屈支国，语言少异。,,新疆阿克苏地区乌什县
125,唐朝,《大唐西域记》,朅盘陁国,朅盘陁国，周二千余里。国大都城基大石岭，背徙多河，周二十余里。从此东下葱岭东冈，登危岭，越洞谷，溪径险阻，风雪相继，行八百余里，出葱岭，至乌铩国。,山岭连属，川原隘狭，榖稼俭少，菽麦丰多，林树稀，花果少。原隰丘墟，城邑空旷。,,新疆塔什库尔干塔吉克自治县
126,唐朝,《大唐西域记》,乌铩国,乌铩国，周千余里。国大都城，周十余里，南临徙多河。,地土沃壤，稼穑殷盛，林树郁茂，花果具繁。多出杂玉，则有白玉、黳玉、青玉。气序和，风雨顺节。,,新疆喀什地区莎车县
127,唐朝,《大唐西域记》,祛沙国,周五千余里。从此东南行五百余里，济徙多河，逾大沙岭，至斫句迦国。,多沙碛，少壤土。稼穑殷盛，花果繁茂。出细毡褐，工织细??氍毹。气侯和畅，风雨顺序。,,新疆喀什市
128,唐朝,《大唐西域记》,斫句迦国,周千余里。国大都城，周十余里，坚峻险固，编户殷盛。,山阜连属，砾石弥漫，临带两河，颇以耕植，蒲萄、梨、柰，其果寔繁。时风寒，人躁暴。国南境有大山，崖岭嵯峨，峰峦重叠；草木凌寒，春秋一贯；溪涧浚濑，飞流四注，崖龛石室，棋布岩林。,,新疆喀什地区叶城县
129,唐朝,《大唐西域记》,瞿萨旦那国,周四千余里。,沙碛太半，壤土隘狭。宜榖稼，多众果。出氍毹、细毡，工纺绩???，又产白玉、黳玉。气序和畅，飘风飞埃。,,新疆和田县
130,唐朝,《大唐西域记》,尼壤城（今民丰）,媲摩川东入沙碛，行二百余里，至尼壤城。从此东行，入大流沙。,周三四里，在大泽中。泽地热湿，难以履涉，芦草荒茂，无复途径，唯趣城路，仅得通行，故往来者莫不由此城焉，而瞿萨旦那以为东境之关防也。,,新疆巴音郭楞州若羌县
